SKU;SKU Pai;Imagem 1;Imagem 2;Imagem 3;Imagem 4;Imagem 5;Imagem 6;Imagem 7;Imagem 8;Imagem 9;Imagem 10;Canal
;544585;;;;;;;;;;;
;544585;;;;;;;;;;;
;544585;;;;;;;;;;;
544584;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/97/e3/1e/4d4fa1d8c45ee1cba180d15d2e.jpg;;;;;;;;;;Ambiente Demonstrativo
302082;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/d2/83/ac/fa3eccc7876a3e6f2ee221c443.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/5f/06/b4/e2d5c41ccb3853ce2bf791e30d.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/6f/b3/91/8950e224f299f23a4ff5107b1d.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/bf/62/19/139eedf779ebd21b5e1af09652.jpg;;;;;;;Ambiente Demonstrativo
;302082;;;;;;;;;;;
302081;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/d4/75/7b/109c4bb2ebd6f5430a1b675ca1.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/6f/d9/ca/e3f844526bf1390f9473134e3d.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/db/2a/a2/9a8d19fc34ed69ed7f986c79bb.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/f0/b4/74/de26cb27edbdd6c23c290a2902.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/6b/97/ec/08ce05e774d8d1aa686e5c7797.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/f5/ab/3e/28179a32b46c08b76387b2b146.jpg;;;;;Ambiente Demonstrativo
;302081;;;;;;;;;;;
302078;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/17/05/07/d1af88e546f614a8111aedd921.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/fd/d6/60/8dc5adfac3867e5f6e922a731c.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/a8/f7/11/34d8682f453a04b5075003c510.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/f6/13/2c/0e5ca7c2edf2170aa0dd2baac2.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/c7/1b/a3/4c2c48f11eb61a5f2e5c769cb2.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/2e/80/61/192e4a24b3ef8842af92defd9f.jpg;;;;;Ambiente Demonstrativo
;302078;;;;;;;;;;;
;302078;;;;;;;;;;;
302077;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/ed/aa/3b/d47da0dd0c27a92545edc8d9e3.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/2b/ba/32/f9149ddf91c9c8606a3d3ed04d.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/5e/80/ad/bf57f7eb6a81fde2467cf2e5c8.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/03/4c/47/1097d7232e3a384631395bbed6.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/fa/09/69/d896628fb7f4e885bdb33f987f.jpg;;;;;;Ambiente Demonstrativo
;302077;;;;;;;;;;;
302076;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/3f/75/6c/9dcfed2d7c8b0f97a7bc9597c0.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/44/0f/47/5d84b460fa7b615e51d0288c1d.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/9b/9d/e0/aafd9395776b2d7c73d2f5ea49.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/c9/07/5e/afc17ed0a88ecc007739f0f9b8.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/9b/8c/1a/442d1742965e166526d97cf931.jpg;;;;;;Ambiente Demonstrativo
;302076;;;;;;;;;;;
